               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.02495,            0.011642,           0.0048287,             0.81649,             0.77059,             0.83906,             0.40712,            0.016152,            0.004807,          0.00022276,             0.00208,             0.00208,             0.00208
                  82,            0.024695,            0.011416,            0.005294,             0.74384,             0.78062,             0.82208,             0.40323,            0.015085,           0.0047426,          0.00022419,            0.001981,            0.001981,            0.001981
                  83,             0.02555,              0.0117,           0.0051908,             0.77618,             0.80608,             0.82837,             0.41552,            0.015394,           0.0047556,          0.00018961,            0.001882,            0.001882,            0.001882
                  84,            0.024084,             0.01159,           0.0052611,             0.75728,             0.72722,             0.78212,             0.40123,            0.015068,            0.004717,          0.00019517,            0.001783,            0.001783,            0.001783
                  85,            0.024337,            0.011424,           0.0041561,              0.7859,             0.71928,             0.78722,             0.39562,            0.015201,           0.0047355,           0.0002264,            0.001684,            0.001684,            0.001684
                  86,            0.023534,            0.011254,           0.0044941,             0.81996,             0.71044,             0.80356,             0.39072,            0.015478,           0.0049094,          0.00018549,            0.001585,            0.001585,            0.001585
                  87,            0.024157,            0.011535,           0.0048949,             0.71568,             0.80069,             0.82601,             0.40625,             0.01518,           0.0048773,          0.00021764,            0.001486,            0.001486,            0.001486
                  88,            0.023879,            0.011531,           0.0047891,             0.70524,             0.81249,             0.83402,             0.41895,            0.015165,           0.0048793,          0.00020932,            0.001387,            0.001387,            0.001387
                  89,            0.023836,            0.011472,            0.005049,             0.77328,             0.76444,              0.8075,             0.40669,            0.015128,           0.0048502,          0.00020822,            0.001288,            0.001288,            0.001288
                  90,            0.023446,            0.011355,           0.0048114,             0.73306,             0.78779,             0.85252,             0.43954,             0.01475,           0.0048952,          0.00021616,            0.001189,            0.001189,            0.001189
                  91,            0.024226,            0.011546,           0.0042394,             0.76153,             0.75072,             0.77771,              0.4067,            0.014575,           0.0048523,          0.00022592,             0.00109,             0.00109,             0.00109
                  92,            0.023538,            0.011365,           0.0044542,              0.7948,             0.77271,             0.85384,             0.43231,            0.015192,           0.0047987,          0.00016012,            0.000991,            0.000991,            0.000991
                  93,            0.023435,            0.010894,           0.0047774,              0.7863,             0.79661,             0.83551,             0.42863,            0.014424,           0.0047419,          0.00013356,            0.000892,            0.000892,            0.000892
                  94,            0.022932,            0.011149,           0.0040443,              0.7695,             0.81278,             0.81125,              0.4244,            0.014756,            0.004838,          0.00015526,            0.000793,            0.000793,            0.000793
                  95,            0.022557,            0.011584,            0.004671,              0.7887,             0.79226,             0.79522,             0.42084,            0.014443,           0.0047496,          0.00016792,            0.000694,            0.000694,            0.000694
                  96,            0.022271,            0.010842,           0.0040787,              0.8193,             0.79574,             0.83665,             0.43753,             0.01466,           0.0047502,          0.00018557,            0.000595,            0.000595,            0.000595
                  97,            0.023753,             0.01139,           0.0042531,             0.80862,             0.78062,              0.8239,             0.42539,            0.014826,            0.004779,           0.0001412,            0.000496,            0.000496,            0.000496
                  98,            0.021604,            0.010847,           0.0037817,             0.80749,             0.75364,             0.83906,             0.44274,            0.014715,           0.0047117,          0.00015168,            0.000397,            0.000397,            0.000397
                  99,            0.021741,            0.011198,           0.0039453,             0.81045,             0.77045,             0.83883,             0.43498,             0.01493,           0.0047525,          0.00014424,            0.000298,            0.000298,            0.000298
